idx,condition,method,k,logp_A,logp_B,logit_diff_A_minus_B,p_A,p_B,top_token_id,top_token
15,baseline,,0.0,-7.626008152983559,-0.0010097836038767127,-7.624998369379682,0.0004876034168073382,0.9989907260560235,33,B
16,baseline,,0.0,-7.875812768944797,-0.0008133890280532796,-7.874999379916744,0.00037982012637881253,0.9991869416831305,33,B
17,baseline,,0.0,-8.75091540813878,-0.0009155827021913865,-8.74999982543659,0.00015831633470188563,0.9990848363157593,33,B
18,baseline,,0.0,-8.37592649463113,-0.0009278457382606575,-8.37499864889287,0.0002303463540378173,0.9990725845774971,33,B
19,baseline,,0.0,-8.500559687616487,-0.0005600067682962617,-8.499999680848191,0.00020335452214647394,0.9994401500062277,33,B
20,baseline,,0.0,-7.37640643120676,-0.00140698580685239,-7.374999445399908,0.0006258458700191386,0.9985940035336276,33,B
21,baseline,,0.0,-8.000894784928846,-0.0008952174691785331,-7.999999567459668,0.000335162595251239,0.9991051831184334,33,B
22,baseline,,0.0,-7.875905036929225,-0.0009056980503601153,-7.874999338878865,0.0003797850827580334,0.9990947119703247,33,B
23,baseline,,0.0,-7.501770973207385,-0.0017714275754769915,-7.499999545631908,0.0005521057393671015,0.9982301404763172,33,B
24,baseline,,0.0,-7.376207113270766,-0.0012079303876362246,-7.37499918288313,0.000625970624758717,0.9987927988666154,33,B
25,baseline,,0.0,-8.250512123112003,-0.0005127058270772977,-8.249999417284926,0.0002611247950105687,0.9994874255840959,33,B
26,baseline,,0.0,-8.50074195863408,-0.0007429904758282646,-8.499998968158252,0.00020331745988858054,0.9992572854732485,33,B
27,baseline,,0.0,-8.126241207141902,-0.0012428127342900552,-8.124998394407612,0.0002956775051718067,0.9987579592376176,33,B
28,baseline,,0.0,-8.126237154010369,-0.0012381727594856784,-8.124998981250883,0.00029567870359405537,0.9987625934601354,33,B
29,baseline,,0.0,-8.001569032696352,-0.001570769601585198,-7.999998263094767,0.0003349366887866623,0.9984304634113079,33,B
0,SU −3.0σ,SU,-3.0,-14.217642724514008,-12.729664742946625,-1.4879779815673828,6.688923346559701e-07,2.9619440162766604e-06,99377,溢
1,SU −3.0σ,SU,-3.0,-14.373110175132751,-12.864626556634903,-1.5084836184978485,5.725818312033439e-07,2.5879964407020233e-06,99377,溢
2,SU −3.0σ,SU,-3.0,-14.212031245231628,-12.741201341152191,-1.4708299040794373,6.726563611353181e-07,2.9279696096054316e-06,99377,溢
3,SU −3.0σ,SU,-3.0,-14.479534685611725,-12.963026225566864,-1.5165084600448608,5.147756379818888e-07,2.3454665384233697e-06,14852,unks
4,SU −3.0σ,SU,-3.0,-14.230367183685303,-12.77775165438652,-1.4526155292987823,6.604349633039672e-07,2.8228835658081924e-06,99377,溢
5,SU −3.0σ,SU,-3.0,-14.217907667160034,-12.780777722597122,-1.437129944562912,6.687151400251631e-07,2.8143542392580844e-06,14852,unks
6,SU −3.0σ,SU,-3.0,-14.297218263149261,-12.895662277936935,-1.401555985212326,6.17727593951886e-07,2.508909709346092e-06,14852,unks
7,SU −3.0σ,SU,-3.0,-14.237205564975739,-12.811350584030151,-1.4258549809455872,6.559340641793289e-07,2.7296133631140593e-06,14852,unks
8,SU −3.0σ,SU,-3.0,-14.323143780231476,-12.791734606027603,-1.5314091742038727,6.019185015835832e-07,2.783686008857109e-06,99377,溢
9,SU −3.0σ,SU,-3.0,-14.352600634098053,-12.905458807945251,-1.4471418261528015,5.844464750726214e-07,2.484451100449823e-06,99377,溢
10,SU −3.0σ,SU,-3.0,-14.346622943878174,-12.859001249074936,-1.487621694803238,5.879505778368458e-07,2.6025957409235874e-06,14852,unks
11,SU −3.0σ,SU,-3.0,-14.182942807674408,-12.697792828083038,-1.4851499795913696,6.925102429890309e-07,3.057867354097762e-06,99377,溢
12,SU −3.0σ,SU,-3.0,-14.340519487857819,-12.879110842943192,-1.461408644914627,5.915500818639718e-07,2.5507813270953593e-06,99377,溢
13,SU −3.0σ,SU,-3.0,-14.293483018875122,-12.84033477306366,-1.4531482458114624,6.200392720636679e-07,2.6516332871106745e-06,99377,溢
14,SU −3.0σ,SU,-3.0,-14.299622893333435,-12.822287946939468,-1.4773349463939667,6.162439720297891e-07,2.699921263787268e-06,99377,溢
15,SU −3.0σ,SU,-3.0,-14.36297881603241,-12.877772003412247,-1.485206812620163,5.784123490119935e-07,2.55419870111812e-06,99377,溢
16,SU −3.0σ,SU,-3.0,-14.275547683238983,-12.854490548372269,-1.4210571348667145,6.312602093632065e-07,2.6143617879695303e-06,99377,溢
17,SU −3.0σ,SU,-3.0,-14.33945631980896,-12.872113674879074,-1.4673426449298859,5.921793334511287e-07,2.568692162220943e-06,99377,溢
18,SU −3.0σ,SU,-3.0,-14.360389471054077,-12.804077565670013,-1.5563119053840637,5.799119988407974e-07,2.7495382604619917e-06,99377,溢
19,SU −3.0σ,SU,-3.0,-14.26324737071991,-12.740792602300644,-1.5224547684192657,6.390728577247328e-07,2.9291666291585606e-06,99377,溢
20,SU −3.0σ,SU,-3.0,-14.209809005260468,-12.780433058738708,-1.429375946521759,6.741528271253184e-07,2.815324412631375e-06,99377,溢
21,SU −3.0σ,SU,-3.0,-14.313607931137085,-12.843902587890625,-1.46970534324646,6.076857597310028e-07,2.6421896072214305e-06,99377,溢
22,SU −3.0σ,SU,-3.0,-14.160695195198059,-12.72477975487709,-1.4359154403209686,7.0808960169202e-07,2.9764484756709024e-06,14852,unks
23,SU −3.0σ,SU,-3.0,-14.263971030712128,-12.848437637090683,-1.4155333936214447,6.386105535611737e-07,2.6302342768526175e-06,99377,溢
24,SU −3.0σ,SU,-3.0,-14.277334094047546,-12.7707459628582,-1.5065881311893463,6.301335259615161e-07,2.8427292525018625e-06,99377,溢
25,SU −3.0σ,SU,-3.0,-14.188107430934906,-12.728777557611465,-1.4593298733234406,6.889429083789976e-07,2.9645729755860997e-06,14852,unks
26,SU −3.0σ,SU,-3.0,-14.228218138217926,-12.786255657672882,-1.441962480545044,6.618557942366606e-07,2.798979538707642e-06,14852,unks
27,SU −3.0σ,SU,-3.0,-14.243210434913635,-12.754445433616638,-1.488765001296997,6.520070677874998e-07,2.889446971145727e-06,14852,unks
28,SU −3.0σ,SU,-3.0,-14.264798283576965,-12.800900280475616,-1.4638980031013489,6.38082479606686e-07,2.758288220867203e-06,99377,溢
29,SU −3.0σ,SU,-3.0,-14.301082372665405,-12.860345393419266,-1.4407369792461395,6.153452326944349e-07,2.59909982661092e-06,14852,unks
0,SU −2.0σ,SU,-2.0,-15.460692277178168,-12.104862740263343,-3.3558295369148254,1.9297749188920423e-07,5.532544397151018e-06,101252,睿
1,SU −2.0σ,SU,-2.0,-15.661324359476566,-12.431231308728456,-3.23009305074811,1.5789677195827925e-07,3.991947668363122e-06,250,�
2,SU −2.0σ,SU,-2.0,-15.488588431850076,-12.087841866537929,-3.400746565312147,1.8766855565841924e-07,5.627519120181774e-06,250,�
3,SU −2.0σ,SU,-2.0,-15.705310121178627,-12.643815657123923,-3.0614944640547037,1.5110209221898643e-07,3.2274582270660374e-06,101252,睿
4,SU −2.0σ,SU,-2.0,-15.581654658541083,-12.338651290163398,-3.2430033683776855,1.709910435799184e-07,4.3791702587492996e-06,4329,ARE
5,SU −2.0σ,SU,-2.0,-15.25939237140119,-11.93126737140119,-3.328125,2.3600983208743154e-07,6.581371686219155e-06,250,�
6,SU −2.0σ,SU,-2.0,-15.51096579246223,-12.173727586865425,-3.3372382055968046,1.8351566734638954e-07,5.164369229462483e-06,4329,ARE
7,SU −2.0σ,SU,-2.0,-15.46132105961442,-12.02132579125464,-3.4399952683597803,1.9285618917221796e-07,6.0145694453675174e-06,250,�
8,SU −2.0σ,SU,-2.0,-15.343346105888486,-11.771382858976722,-3.571963246911764,2.170048559756222e-07,7.722419324830418e-06,4329,ARE
9,SU −2.0σ,SU,-2.0,-15.445256235077977,-12.098404631018639,-3.3468516040593386,1.9597940983862465e-07,5.5683897954339065e-06,4329,ARE
10,SU −2.0σ,SU,-2.0,-15.248702455312014,-12.009621111676097,-3.2390813436359167,2.385462904981648e-07,6.085381662248032e-06,250,�
11,SU −2.0σ,SU,-2.0,-15.430196523666382,-11.717673121020198,-3.712523402646184,1.9895313874094985e-07,8.148529136726411e-06,250,�
12,SU −2.0σ,SU,-2.0,-15.403516951948404,-12.012379486113787,-3.3911374658346176,2.0433256457759009e-07,6.0686190304631996e-06,16644,/bash
13,SU −2.0σ,SU,-2.0,-15.560120150446892,-12.259715881198645,-3.300404269248247,1.7471318499463142e-07,4.738850883930336e-06,101252,睿
14,SU −2.0σ,SU,-2.0,-15.154332522302866,-11.495435107499361,-3.658897414803505,2.621543138775883e-07,1.017644209439516e-05,4329,ARE
15,SU −2.0σ,SU,-2.0,-15.435425776988268,-11.941300490871072,-3.494125286117196,1.9791547783972297e-07,6.515670144668088e-06,101252,睿
16,SU −2.0σ,SU,-2.0,-15.578993583098054,-12.234682062640786,-3.3443115204572678,1.7144666960571157e-07,4.858979786114795e-06,250,�
17,SU −2.0σ,SU,-2.0,-15.548803629353642,-12.186919091269374,-3.3618845380842686,1.767015599616856e-07,5.096690801591469e-06,101252,睿
18,SU −2.0σ,SU,-2.0,-15.362120389938354,-12.05584698729217,-3.306273402646184,2.129687512090556e-07,5.8104822488991344e-06,4329,ARE
19,SU −2.0σ,SU,-2.0,-15.449814369902015,-12.095835139974952,-3.353979229927063,1.950881420683007e-07,5.582716120941366e-06,250,�
20,SU −2.0σ,SU,-2.0,-15.439903704449534,-12.100888071581721,-3.339015632867813,1.9703120801216895e-07,5.554578187597006e-06,4329,ARE
21,SU −2.0σ,SU,-2.0,-15.308860504999757,-11.85438440926373,-3.4544760957360268,2.2461893225154832e-07,7.1073264665181095e-06,4329,ARE
22,SU −2.0σ,SU,-2.0,-15.568803194910288,-12.302787775173783,-3.2660154197365046,1.7320270989242827e-07,4.539072893821371e-06,250,�
23,SU −2.0σ,SU,-2.0,-15.256201414391398,-11.885829271748662,-3.3703721426427364,2.3676413214500248e-07,6.887314809575425e-06,4329,ARE
24,SU −2.0σ,SU,-2.0,-15.3964151032269,-11.746887728571892,-3.6495273746550083,2.0578886864481425e-07,7.913916796037677e-06,4329,ARE
25,SU −2.0σ,SU,-2.0,-15.533876517787576,-12.320847926661372,-3.2130285911262035,1.7935898838285587e-07,4.457832366032109e-06,250,�
26,SU −2.0σ,SU,-2.0,-15.556695699691772,-12.202717354521155,-3.353978345170617,1.753125072820647e-07,5.016804631494062e-06,250,�
27,SU −2.0σ,SU,-2.0,-15.549752235412598,-12.320124968886375,-3.2296272665262222,1.7653401926890077e-07,4.461056355864599e-06,250,�
28,SU −2.0σ,SU,-2.0,-15.413144130259752,-11.902158310636878,-3.5109858196228743,2.0237485726270832e-07,6.775764808970274e-06,101252,睿
29,SU −2.0σ,SU,-2.0,-15.443159975111485,-12.129758935421705,-3.3134010396897793,1.9639066452749813e-07,5.396505543607686e-06,101252,睿
0,SU −1.5σ,SU,-1.5,-13.325114497449249,-7.558061645831913,-5.767052851617336,1.6329628440008119e-06,0.0005218858637382264,248045,<|im_start|>
1,SU −1.5σ,SU,-1.5,-13.642594373319298,-7.942093979567289,-5.700500393752009,1.1887664640251423e-06,0.0003554613696131729,248045,<|im_start|>
2,SU −1.5σ,SU,-1.5,-13.25254083564505,-7.517074595671147,-5.735466239973903,1.7558792389512526e-06,0.0005437208448469725,248045,<|im_start|>
3,SU −1.5σ,SU,-1.5,-13.66354178963229,-8.248607710935175,-5.414934078697115,1.164123878333855e-06,0.0002616225580724365,248045,<|im_start|>
4,SU −1.5σ,SU,-1.5,-13.417994454037398,-7.799734211992472,-5.618260242044926,1.4881237584100406e-06,0.00040984389609725473,248045,<|im_start|>
5,SU −1.5σ,SU,-1.5,-12.919182856101543,-7.184230525512248,-5.734952330589294,2.4505872797759406e-06,0.0007584523932277854,248045,<|im_start|>
6,SU −1.5σ,SU,-1.5,-13.323463364038616,-7.509937297087163,-5.813526066951454,1.635661310662038e-06,0.0005476154247198755,248045,<|im_start|>
7,SU −1.5σ,SU,-1.5,-13.442363667534664,-7.441300813108683,-6.001062854425982,1.4522976527917156e-06,0.0005865217459240806,248045,<|im_start|>
8,SU −1.5σ,SU,-1.5,-13.120927113573998,-6.917225549928844,-6.203701563645154,2.0028745915024068e-06,0.000990574430845207,248045,<|im_start|>
9,SU −1.5σ,SU,-1.5,-13.17296118894592,-7.406348349992186,-5.7666128389537334,1.9013218770254397e-06,0.0006073846058610114,248045,<|im_start|>
10,SU −1.5σ,SU,-1.5,-12.954883090220392,-7.391512785572559,-5.563370304647833,2.3646439661188377e-06,0.0006164626719240034,248045,<|im_start|>
11,SU −1.5σ,SU,-1.5,-13.395887087099254,-7.520057771820575,-5.875829315278679,1.5213886006245173e-06,0.0005421012467649758,248045,<|im_start|>
12,SU −1.5σ,SU,-1.5,-13.073645162396133,-7.611969689372927,-5.461675473023206,2.0998489121967897e-06,0.0004944968933276418,248045,<|im_start|>
13,SU −1.5σ,SU,-1.5,-13.494083101395518,-7.844320293515921,-5.649762807879597,1.379094958116983e-06,0.0003919719434699831,248045,<|im_start|>
14,SU −1.5σ,SU,-1.5,-12.911962977610528,-6.848836201708764,-6.063126775901765,2.468344246604792e-06,0.0010606894033884833,248045,<|im_start|>
15,SU −1.5σ,SU,-1.5,-13.195573056815192,-7.327383869327605,-5.868189187487587,1.8588118646102971e-06,0.0006572908986712319,248045,<|im_start|>
16,SU −1.5σ,SU,-1.5,-13.320553089026362,-7.608637161087245,-5.711915927939117,1.6404284684083045e-06,0.0004961475671427646,248045,<|im_start|>
17,SU −1.5σ,SU,-1.5,-13.345530970487744,-7.500706500839442,-5.844824469648302,1.5999615336316736e-06,0.000552693753577757,248045,<|im_start|>
18,SU −1.5σ,SU,-1.5,-13.35086413146928,-7.6468321974389255,-5.704031934030354,1.5914513943507995e-06,0.00047755453390252217,248045,<|im_start|>
19,SU −1.5σ,SU,-1.5,-13.135120648425072,-7.415269783232361,-5.719850865192711,1.974647516050737e-06,0.0006019899643963512,248045,<|im_start|>
20,SU −1.5σ,SU,-1.5,-13.214201483409852,-7.549110780470073,-5.665090702939779,1.8245056516895275e-06,0.0005265781625782843,248045,<|im_start|>
21,SU −1.5σ,SU,-1.5,-13.026217664359137,-7.158353358041495,-5.867864306317642,2.2018389412712034e-06,0.0007783351378918338,248045,<|im_start|>
22,SU −1.5σ,SU,-1.5,-13.249069775920361,-7.451176340226084,-5.797893435694277,1.7619845905491095e-06,0.0005807580411710846,248045,<|im_start|>
23,SU −1.5σ,SU,-1.5,-13.046971316449344,-7.116773923859,-5.930197392590344,2.15661366005354e-06,0.0008113801074201879,248045,<|im_start|>
24,SU −1.5σ,SU,-1.5,-13.22688149753958,-7.202653418760747,-6.024228078778833,1.8015169507872048e-06,0.0007446074294808173,248045,<|im_start|>
25,SU −1.5σ,SU,-1.5,-13.433447408489883,-7.799395375419408,-5.634052033070475,1.4653046154275965e-06,0.0004099827897282918,248045,<|im_start|>
26,SU −1.5σ,SU,-1.5,-13.39914271235466,-7.601334124337882,-5.797808588016778,1.5164435834022411e-06,0.0004997842141790221,248045,<|im_start|>
27,SU −1.5σ,SU,-1.5,-13.400402332190424,-7.719490230083466,-5.680912102106959,1.5145346435064497e-06,0.000444086928367679,248045,<|im_start|>
28,SU −1.5σ,SU,-1.5,-13.197556752245873,-7.446060679387301,-5.751496072858572,1.855128202847426e-06,0.0005837366145288869,248045,<|im_start|>
29,SU −1.5σ,SU,-1.5,-13.259745845105499,-7.430690184701234,-5.829055660404265,1.743273578905353e-06,0.0005927782442131023,248045,<|im_start|>
0,SU −1.0σ,SU,-1.0,-11.255311134911608,-4.723877963493578,-6.53143317141803,1.2938397272963816e-05,0.008880672760825534,248046,<|im_end|>
1,SU −1.0σ,SU,-1.0,-11.14080875297077,-4.765542953740805,-6.375265799229965,1.4508022974493072e-05,0.008518261964388131,248046,<|im_end|>
2,SU −1.0σ,SU,-1.0,-10.423996572964825,-3.736152813071385,-6.68784375989344,2.97109000936801e-05,0.02384566562244876,248045,<|im_start|>
3,SU −1.0σ,SU,-1.0,-11.04658757778816,-4.608773883897811,-6.437813693890348,1.594145549706328e-05,0.009964027876166275,248046,<|im_end|>
4,SU −1.0σ,SU,-1.0,-10.525374602817465,-4.212630241643637,-6.312744361173827,2.684651332945802e-05,0.014807370111689795,248046,<|im_end|>
5,SU −1.0σ,SU,-1.0,-10.073040960065555,-3.9478517145616934,-6.1251892455038615,4.220208375479919e-05,0.01929611083414321,248046,<|im_end|>
6,SU −1.0σ,SU,-1.0,-10.762848455109634,-4.168860882055014,-6.593987573054619,2.1171630527664485e-05,0.015469872099861746,248046,<|im_end|>
7,SU −1.0σ,SU,-1.0,-11.087044681305997,-4.180449954234064,-6.9065947270719334,1.5309382514049378e-05,0.015291625486897602,248046,<|im_end|>
8,SU −1.0σ,SU,-1.0,-10.89256782195298,-4.079900211072527,-6.812667610880453,1.8595929933806243e-05,0.016909152914752687,248046,<|im_end|>
9,SU −1.0σ,SU,-1.0,-11.064121291448828,-4.501419314183295,-6.562701977265533,1.5664378771491762e-05,0.011093240565875904,248046,<|im_end|>
10,SU −1.0σ,SU,-1.0,-10.95022470242111,-4.606223076116294,-6.3440016263048165,1.7554070415787054e-05,0.009989476639661248,248046,<|im_end|>
11,SU −1.0σ,SU,-1.0,-10.807235683198087,-4.2757558519952,-6.531479831202887,2.025243179057945e-05,0.013901537242216867,248046,<|im_end|>
12,SU −1.0σ,SU,-1.0,-9.323002435616218,-4.635405678884126,-4.687596756732091,8.934525392040828e-05,0.00970217027426209,248046,<|im_end|>
13,SU −1.0σ,SU,-1.0,-11.275147775246296,-4.649857343640178,-6.625290431606118,1.2684271770826645e-05,0.00956296605116691,248046,<|im_end|>
14,SU −1.0σ,SU,-1.0,-10.561911211931147,-4.093058319645934,-6.468852892285213,2.58833355361744e-05,0.016688117835682127,248046,<|im_end|>
15,SU −1.0σ,SU,-1.0,-10.954834845557343,-4.48579117609188,-6.469043669465464,1.7473329894228366e-05,0.011267969045450766,248046,<|im_end|>
16,SU −1.0σ,SU,-1.0,-10.392659834818915,-3.829894512426108,-6.562765322392806,3.065668429115454e-05,0.021711905845324002,248046,<|im_end|>
17,SU −1.0σ,SU,-1.0,-11.283940943947528,-4.533690142328851,-6.750250801618677,1.257322576791588e-05,0.010740967154473677,248046,<|im_end|>
18,SU −1.0σ,SU,-1.0,-10.895054669119418,-4.1136451899656095,-6.781409479153808,1.8549742152922767e-05,0.016348073947312636,248046,<|im_end|>
19,SU −1.0σ,SU,-1.0,-10.586055970285088,-4.210840281913988,-6.3752156883710995,2.526587289392941e-05,0.01483389844313125,248046,<|im_end|>
20,SU −1.0σ,SU,-1.0,-10.90876108116936,-4.470925432746299,-6.437835648423061,1.8297226240372757e-05,0.011436727029936788,248046,<|im_end|>
21,SU −1.0σ,SU,-1.0,-10.43304352503037,-3.651658591697924,-6.781384933332447,2.944331922541551e-05,0.025948055838428054,248046,<|im_end|>
22,SU −1.0σ,SU,-1.0,-10.411664561193902,-3.911455059540458,-6.500209501653444,3.007956377364024e-05,0.02001136214398982,248046,<|im_end|>
23,SU −1.0σ,SU,-1.0,-10.805571180884726,-4.399186786729842,-6.406384394154884,2.028617008108783e-05,0.012287328059500086,248046,<|im_end|>
24,SU −1.0σ,SU,-1.0,-11.241461909958161,-4.584888229612261,-6.6565736803459,1.311883059422959e-05,0.010204890328557148,248046,<|im_end|>
25,SU −1.0σ,SU,-1.0,-10.655990756698884,-4.280404660385102,-6.375586096313782,2.3559280075875617e-05,0.013837061642724038,248045,<|im_start|>
26,SU −1.0σ,SU,-1.0,-10.574110982648563,-3.7614207834703848,-6.812690199178178,2.556948313356658e-05,0.02325068271089583,248046,<|im_end|>
27,SU −1.0σ,SU,-1.0,-10.793905386468396,-4.13734146906063,-6.656563917407766,2.052421013432899e-05,0.01596523921743696,248046,<|im_end|>
28,SU −1.0σ,SU,-1.0,-10.902605466137175,-4.496146315301303,-6.406459150835872,1.8410204289210157e-05,0.011151889703503488,248046,<|im_end|>
29,SU −1.0σ,SU,-1.0,-10.918629185995087,-4.137126745190471,-6.781502440804616,1.811755525787747e-05,0.01596866770346545,248046,<|im_end|>
0,SU −0.75σ,SU,-0.75,-9.124697924788052,-1.999695302296459,-7.125002622491593,0.00010894167346423559,0.13537652586957166,248046,<|im_end|>
1,SU −0.75σ,SU,-0.75,-8.651921392622171,-1.9644142404249578,-6.687507152197213,0.00017479068377896238,0.14023800831783764,248046,<|im_end|>
2,SU −0.75σ,SU,-0.75,-8.513204933569796,-1.0756968277892156,-7.43750810578058,0.00020079924430606438,0.34106001238325895,248046,<|im_end|>
3,SU −0.75σ,SU,-0.75,-8.510055425220344,-1.5100454123748932,-7.0000100128454505,0.00020143266015322747,0.22089994614042754,248046,<|im_end|>
4,SU −0.75σ,SU,-0.75,-7.597840786878805,-1.3478336346634023,-6.250007152215403,0.0005015331821849802,0.25980247852518745,248046,<|im_end|>
5,SU −0.75σ,SU,-0.75,-7.682897092025087,-1.3078925622830866,-6.375004529742,0.0004606384518262578,0.27038928494448394,248046,<|im_end|>
6,SU −0.75σ,SU,-0.75,-8.419028403281118,-1.606517436746799,-6.812510966534319,0.00022062891105306868,0.20058494888619946,248046,<|im_end|>
7,SU −0.75σ,SU,-0.75,-8.93291461654735,-1.1829059148731176,-7.750008701674233,0.0001319728132857047,0.3063871088719185,248046,<|im_end|>
8,SU −0.75σ,SU,-0.75,-8.7273290164012,-1.289825797881349,-7.437503218519851,0.00016209483117076622,0.27531874002034745,248046,<|im_end|>
9,SU −0.75σ,SU,-0.75,-8.970048310395214,-2.0950365094540757,-6.875011800941138,0.0001271620487582087,0.1230657505085806,248046,<|im_end|>
10,SU −0.75σ,SU,-0.75,-8.54836833596346,-1.798358442101744,-6.750009893861716,0.00019386115791689937,0.16557045875551338,248046,<|im_end|>
11,SU −0.75σ,SU,-0.75,-8.22486221890722,-1.3498483913281234,-6.875013827579096,0.0002679092594555032,0.2592795666969988,248046,<|im_end|>
12,SU −0.75σ,SU,-0.75,-5.307216170251195,-1.6197206998767797,-3.687495470374415,0.004955703367319381,0.19795397993426872,248046,<|im_end|>
13,SU −0.75σ,SU,-0.75,-9.147808553927462,-2.0228017594854464,-7.125006794442015,0.00010645283295932631,0.1322843165497834,248046,<|im_end|>
14,SU −0.75σ,SU,-0.75,-8.12977838631923,-1.0672783863265067,-7.062499999992724,0.00029463348838306113,0.34394332560618623,248046,<|im_end|>
15,SU −0.75σ,SU,-0.75,-8.57157254392223,-1.6965590741674532,-6.8750134697547765,0.0001894145527842006,0.1833132072351069,248046,<|im_end|>
16,SU −0.75σ,SU,-0.75,-8.238750340424303,-1.4262435459459084,-6.812506794478395,0.0002642142210670755,0.2402095657688304,248046,<|im_end|>
17,SU −0.75σ,SU,-0.75,-9.188204766796844,-1.75069940270987,-7.437505364086974,0.00010223824154214847,0.17365244797557589,248046,<|im_end|>
18,SU −0.75σ,SU,-0.75,-9.001187206795294,-1.7511817234953924,-7.250005483299901,0.00012326337806484452,0.17356871198588789,248046,<|im_end|>
19,SU −0.75σ,SU,-0.75,-8.40311229321378,-1.5281025185395265,-6.875009774674254,0.00022416855907678935,0.21694692978833507,248046,<|im_end|>
20,SU −0.75σ,SU,-0.75,-8.559474590372702,-1.8719519425940234,-6.687522647778678,0.0001917199987155032,0.1538231146956753,248046,<|im_end|>
21,SU −0.75σ,SU,-0.75,-8.322556258222903,-0.7600550661845773,-7.562501192038326,0.00024297396550013978,0.46764067511315477,33,B
22,SU −0.75σ,SU,-0.75,-8.141922117549257,-1.3294178262403875,-6.812504291308869,0.0002910771756458717,0.2646312778492137,248046,<|im_end|>
23,SU −0.75σ,SU,-0.75,-8.265046837324917,-1.1400477909410256,-7.124999046383891,0.0002573568699317162,0.31980373772951676,248046,<|im_end|>
24,SU −0.75σ,SU,-0.75,-8.627074721800454,-1.752059821927105,-6.875014899873349,0.00017918805414182575,0.17341636846818947,248046,<|im_end|>
25,SU −0.75σ,SU,-0.75,-8.20785749125207,-1.1453423526327242,-7.0625151386193465,0.00027250393836438625,0.31811499164100865,248046,<|im_end|>
26,SU −0.75σ,SU,-0.75,-8.56315398409788,-1.3131485008561867,-7.250005483241694,0.00019101588151180642,0.26897186367456216,248046,<|im_end|>
27,SU −0.75σ,SU,-0.75,-8.733896256871958,-1.546386124631681,-7.187510132240277,0.00016103380326150277,0.213016399211808,248046,<|im_end|>
28,SU −0.75σ,SU,-0.75,-8.695543290610658,-1.9455322047651862,-6.750011085845472,0.00016732989238126553,0.14291114510286698,248046,<|im_end|>
29,SU −0.75σ,SU,-0.75,-9.099755408853525,-1.849746468855301,-7.250008939998224,0.00011169312429870165,0.15727703588626799,248046,<|im_end|>
0,SU −0.5σ,SU,-0.5,-8.255257129670099,-0.005257581827208924,-8.24999954784289,0.00025988869112553056,0.994756215066104,33,B
1,SU −0.5σ,SU,-0.5,-7.753538966180145,-0.0035392469735597842,-7.749999719206585,0.0004292208514835291,0.9964670087786166,33,B
2,SU −0.5σ,SU,-0.5,-8.876534819604217,-0.001534473734295716,-8.875000345869921,0.0001396271615472643,0.9984667029685748,33,B
3,SU −0.5σ,SU,-0.5,-7.817955493932686,-0.005455707204646387,-7.81249978672804,0.00040244364073328614,0.9945591481381602,33,B
4,SU −0.5σ,SU,-0.5,-7.127322196960904,-0.0023223573810469134,-7.124999839579857,0.0008028664296966712,0.9976803372045219,33,B
5,SU −0.5σ,SU,-0.5,-7.378493428232787,-0.003493509723512034,-7.374999918509275,0.000624541093555543,0.99651258548163,33,B
6,SU −0.5σ,SU,-0.5,-7.752966046335814,-0.0029659278256986,-7.7500001185101155,0.0004294668310835132,0.9970384661930474,33,B
